               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.049417,            0.029372,                   0,             0.94072,              0.8817,             0.89657,              0.4549,            0.046637,            0.016041,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.048448,            0.031592,                   0,             0.94072,              0.8817,             0.89657,              0.4549,            0.046637,            0.016041,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.044168,            0.026589,                   0,             0.94072,              0.8817,             0.89657,              0.4549,            0.046637,            0.016041,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.045845,            0.033889,                   0,              0.8072,             0.80556,             0.87187,              0.4582,            0.047954,            0.016008,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.045972,             0.03281,                   0,              0.8072,             0.80556,             0.87187,              0.4582,            0.047954,            0.016008,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.047439,            0.038246,                   0,             0.81671,             0.86651,             0.88212,             0.56393,            0.045707,            0.015731,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.042102,            0.033177,                   0,             0.81671,             0.86651,             0.88212,             0.56393,            0.045707,            0.015731,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.04085,            0.038727,                   0,             0.96946,             0.88199,              0.9046,             0.62354,            0.041714,            0.015666,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.037876,            0.030967,                   0,             0.96946,             0.88199,              0.9046,             0.62354,            0.041714,            0.015666,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.037385,             0.02794,                   0,             0.96946,             0.88199,              0.9046,             0.62354,            0.041714,            0.015666,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.036627,            0.024357,                   0,             0.95426,             0.86111,             0.90339,             0.59233,            0.042278,            0.015765,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.040769,            0.034891,                   0,             0.95426,             0.86111,             0.90339,             0.59233,            0.042278,            0.015765,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.039226,            0.036447,                   0,             0.93466,             0.88889,             0.90399,             0.63199,            0.041399,            0.015643,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.038605,            0.026245,                   0,             0.93466,             0.88889,             0.90399,             0.63199,            0.041399,            0.015643,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.042271,            0.027499,                   0,             0.96658,             0.88889,             0.90555,              0.6705,            0.040794,             0.01558,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.040866,            0.024722,                   0,             0.96658,             0.88889,             0.90555,              0.6705,            0.040794,             0.01558,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.036515,            0.030511,                   0,             0.96797,             0.88889,             0.90658,              0.6991,            0.040118,             0.01556,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.039453,            0.030677,                   0,             0.96797,             0.88889,             0.90658,              0.6991,            0.040118,             0.01556,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.032834,            0.023586,                   0,             0.96797,             0.88889,             0.90658,              0.6991,            0.040118,             0.01556,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.036862,            0.028068,                   0,             0.96694,             0.88889,             0.90738,             0.68866,            0.040144,            0.015569,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.03979,            0.034046,                   0,             0.96694,             0.88889,             0.90738,             0.68866,            0.040144,            0.015569,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.03865,            0.028402,                   0,             0.96609,             0.88889,             0.90679,             0.67977,            0.039965,            0.015533,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.039185,            0.029167,                   0,             0.96609,             0.88889,             0.90679,             0.67977,            0.039965,            0.015533,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.035895,            0.029399,                   0,             0.96701,             0.88889,             0.90744,             0.67777,            0.039648,            0.015525,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.039865,            0.031992,                   0,             0.96701,             0.88889,             0.90744,             0.67777,            0.039648,            0.015525,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.037209,            0.036105,                   0,             0.96701,             0.88889,             0.90744,             0.67777,            0.039648,            0.015525,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.033964,             0.02768,                   0,             0.96741,             0.88889,             0.90378,             0.67311,            0.039844,            0.015483,                   0,            0.000298,            0.000298,            0.000298
